name,artist,album,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_popularity,duration_minutes,z1,z2,artist_top_ten
Bluebird,Alessia Cara,In The Meantime,1w1UFvNdHZZLhozS2Ysdub,0.697,0.403,10,-9.764,1,0.0368,0.68,0.0,0.126,0.717,107.945,4,81,3.2398833333333332,3.517550260750077,-0.11544846366260575,Alessia Cara
Unboxing Intro,Alessia Cara,In The Meantime,1wnRsXo9tSvj60Vbc6C7A2,0.502,0.701,0,-6.679,0,0.405,0.448,0.0,0.329,0.974,50.369,3,81,0.6884,0.40733660884292866,0.05358691091614387,Alessia Cara
Bajo el mar,Michael Cruz,Canta y Cuenta: La Sirenita,23ayZRBySJIWyFrhHX7nOu,0.656,0.531,10,-11.065,1,0.0869,0.753,0.0,0.278,0.927,99.69,4,36,3.20845,4.80618194818564,0.05728415487840971,Other
A Little More,Alessia Cara,The Pains Of Growing,2IG5I8jLFkX8tFSOUH3DzT,0.478,0.21,4,-11.613,1,0.0364,0.801,0.0,0.152,0.23,96.308,3,81,2.4362166666666667,5.390378982413491,-0.34801544543220286,Alessia Cara
Yonaguni,Bad Bunny,Yonaguni,2JPLbjOn0wPCngEot2STUS,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,4,98,3.4451666666666667,-1.656432023912275,-0.207752212188569,Other
Growing Pains,Alessia Cara,The Pains Of Growing,2N6bB5ck67CNILInUX1Ctw,0.353,0.753,1,-6.277,0,0.74,0.0833,0.0,0.383,0.432,191.142,4,81,3.227116666666667,-0.00203709538398175,0.11446442296507608,Alessia Cara
enough for you,Olivia Rodrigo,SOUR,2TOzTqQXNmR2zDJXihjZ2e,0.638,0.259,7,-10.706,1,0.0898,0.753,0.0,0.219,0.269,88.485,4,92,3.38045,4.4800774387341304,-0.3440873843339447,Other
I'd Rather Be Me,Barrett Wilbert Weed,I'd Rather Be Me,2UNt0aiJNNXbbtSN5Aag0x,0.668,0.79,4,-3.326,1,0.12,0.084,0.0,0.203,0.806,139.94,4,63,2.844,-2.955295537530556,0.05890310879538345,Other
Wildflowers,Maddie Poppe,Whirlwind,2VQzy5hIet7TpNop2MSFgN,0.739,0.529,2,-6.514,1,0.0375,0.0669,0.0,0.377,0.529,126.027,4,44,3.046883333333333,0.24209304956729916,0.10953571282064996,Other
Find My Boy,Alessia Cara,In The Meantime,2rmf4QaSE174hUEObAxLpw,0.636,0.552,10,-6.412,1,0.121,0.239,1.73e-06,0.132,0.712,159.906,4,81,3.20085,0.1440673837788786,0.044080059567562634,Alessia Cara
"Tchaikovsky: Swan Lake, Op. 20, Act II: No. 10, Scene. Moderato",Pyotr Ilyich Tchaikovsky,Tchaikovsky: Swan Lake,2xizRhme7pYeITbH1NLLGt,0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,4,77,2.7811166666666667,12.522772132859222,0.025280919362467902,Other
After Midnight,Sam Creighton,After Midnight,35AzqWrY78E3sHcb3bSZSG,0.343,0.549,8,-6.688,1,0.112,0.356,0.00019,0.0924,0.498,84.522,4,30,3.4196,0.431738366181454,-0.12397604028303866,Other
Levitating,Dua Lipa,Future Nostalgia,39LLxExYz6ewLAcYrzQQyP,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014,4,94,3.3968,-4.0091616365720295,0.08020582071003532,Dua Lipa
Sparkle - movie ver.,RADWIMPS,Your Name.,3A4FRzgve9BjfKbvVXRIFO,0.372,0.426,11,-8.421,1,0.0339,0.687,0.00784,0.109,0.287,123.993,4,73,8.960883333333333,2.189817566702068,-0.3988144519208892,Other
Keep the Beat,Lin-Manuel Miranda,Vivo (Original Motion Picture Soundtrack),3BhpY0zIbTbZt5twFz0t1P,0.705,0.79,7,-6.886,1,0.0463,0.0393,5.97e-06,0.0808,0.38,108.007,4,77,2.561533333333333,0.601975372639927,0.18865392426749042,Other
Love Story (Taylor’s Version),Taylor Swift,Love Story (Taylor’s Version),3CeCwYWvdfXbZLXFhBrbnf,0.626,0.79,2,-4.302,1,0.0311,0.135,3.97e-06,0.0989,0.416,119.082,4,100,3.92945,-1.9690664086707148,-0.07410359668120596,Taylor Swift
Sweet Dream,Alessia Cara,In The Meantime,3HhrQvdp1HIVluWLEgdAsV,0.734,0.538,0,-9.2,1,0.146,0.253,0.0,0.229,0.461,123.052,4,81,3.0375833333333335,2.931192841183119,0.13508030799554993,Alessia Cara
Don't Start Now,Dua Lipa,Future Nostalgia,3PfIrDoz19wz7qK7tYeu62,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,4,94,3.0548333333333333,-1.765014557197942,0.15748683012003092,Dua Lipa
Need to Know,Doja Cat,Planet Her,3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,4,95,3.509333333333333,0.2555273621281618,-0.20253679876770697,Other
I Choose - From The Netflix Original Film The Willoughbys / Acoustic (Bonus Track),Alessia Cara,This Summer: Live Off The Floor,3duAXBgphi9PVRSf7e1QeH,0.594,0.206,0,-11.343,1,0.0345,0.775,0.0,0.136,0.485,137.44,3,81,3.1681166666666667,5.113100915302924,-0.24029524512118827,Alessia Cara
Lie To Me,Alessia Cara,In The Meantime,3vThkPv25GkMKMSnnxm3ev,0.738,0.659,2,-5.392,1,0.254,0.00184,1.04e-05,0.0352,0.577,103.96,4,81,2.51955,-0.887857755327263,0.14316056909254668,Alessia Cara
Fever,Dua Lipa,Fever,3wJVBz7gvGTwTWVAxFa6ny,0.868,0.693,6,-7.052,0,0.181,0.0597,0.00399,0.106,0.396,114.999,4,94,2.6151833333333334,0.7731181157565103,0.15745580238096915,Dua Lipa
"I Miss You, Don't Call Me",Alessia Cara,In The Meantime,3xbiVkfxjHIpd1CVEtrJ8R,0.791,0.31,8,-10.629,1,0.0545,0.72,1.07e-06,0.0801,0.334,107.007,4,81,3.3498,4.397090621182222,-0.2772040000731552,Alessia Cara
October - Live Off The Floor,Alessia Cara,This Summer: Live Off The Floor,4BS8vxpM32EVqHJ31HdUUP,0.612,0.37,0,-11.823,1,0.0287,0.64,0.0,0.0981,0.384,106.883,4,81,4.081333333333333,5.578200296784085,-0.07685752610600038,Alessia Cara
A-O-K,Tai Verdes,A-O-K,4CbrNGvwVjneG8Nk9YQqMR,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488,4,75,2.894,0.6350875733533717,0.2672929882321594,Other
magic,Wrabel,one of those happy people,4Lii9KR73l6TbLPfgdrDsH,0.727,0.802,11,-5.176,0,0.0954,0.0431,0.000417,0.0757,0.727,99.972,4,67,3.43185,-1.1121807605972893,0.20562447091767902,Other
Wherever I Live,Alessia Cara,The Pains Of Growing,4MT0yNKM7GYPkRsk1Uvo7G,0.717,0.167,7,-12.432,1,0.102,0.936,0.0,0.127,0.594,100.813,4,81,3.09045,6.2067009425633275,-0.2580500183357166,Alessia Cara
DÁKITI,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,4MzXwWMhyBbmu6hOcLVD49,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4,98,3.4181666666666666,3.802518171726046,-0.04408581555366145,Other
What's On Your Mind? - Live Off The Floor,Alessia Cara,This Summer: Live Off The Floor,4REkFwoagazUV2dW5IFqYb,0.572,0.421,8,-11.189,1,0.126,0.411,5.49e-06,0.0722,0.666,179.96,4,81,3.2404333333333333,4.923057129426423,0.20250704172380618,Alessia Cara
Like You - Live Off The Floor,Alessia Cara,This Summer: Live Off The Floor,4SKc6fzT8WBksUFCvf4CkC,0.665,0.156,4,-11.598,1,0.157,0.895,0.0,0.396,0.648,147.063,4,81,2.5353833333333333,5.372221342722973,-0.26885559526826464,Alessia Cara
Alexander Hamilton,Leslie Odom Jr.,Hamilton,4TTV7EcfroSLWzXRY6gLv6,0.609,0.435,11,-7.861,0,0.285,0.522,0.0,0.118,0.552,131.995,4,76,3.9456333333333333,1.6146713225433904,-0.18887386465141615,Other
Out Of Love,Alessia Cara,The Pains Of Growing,4WzhjxvLP95y7AMDy0Atwb,0.481,0.267,7,-9.249,1,0.0339,0.8,0.0,0.249,0.137,117.64,3,81,3.7948833333333334,3.033698226371798,-0.548284926037144,Alessia Cara
good 4 u,Olivia Rodrigo,SOUR,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,4,92,2.969116666666667,-1.219067500422827,-0.1120720836300509,Other
Ready - Live Off The Floor,Alessia Cara,This Summer: Live Off The Floor,4g4IV6y4OwtkPqCN56CKr9,0.454,0.279,0,-10.732,0,0.0424,0.62,0.0,0.111,0.582,140.542,4,81,3.0594166666666665,4.488957748353747,-0.09160915995913577,Alessia Cara
Nate Growing Up,Labrinth,Euphoria (Original Score from the HBO Series),4iddJAOsc6U0hJ3krSJAKn,0.507,0.441,7,-11.165,1,0.0504,0.0879,0.237,0.0898,0.249,79.016,4,81,2.5648333333333335,4.8910573281611995,0.2996732701417315,Other
Scars To Your Beautiful - Live Off The Floor (Bonus Track),Alessia Cara,This Summer: Live Off The Floor,4iy4hKxFBmr8Liwy4arOUQ,0.399,0.339,9,-11.365,0,0.042,0.86,0.0,0.0872,0.613,175.977,4,81,4.4513,5.1295832799059395,-0.2087878681833139,Alessia Cara
exile (feat. Bon Iver),Taylor Swift,folklore,4pvb0WLRcMtbPGmtejJJ6y,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,4,100,4.760566666666667,2.205969215406007,-0.5474703236387259,Taylor Swift
One Of A Kind,Juan de Marcos González,Vivo (Original Motion Picture Soundtrack),53eQ6LNW4oByJr5rOMK5wF,0.704,0.62,0,-5.657,1,0.0633,0.638,0.0,0.112,0.62,101.901,4,46,4.183166666666667,-0.5868020272918112,-0.36142014139053297,Other
traitor,Olivia Rodrigo,SOUR,5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,4,92,3.82045,1.66572582188556,-0.5593074341258119,Other
Magic (In Your Bones),Arielle Estoria,Magic (In Your Bones),5Db01SSNXowfzZgU5J4IVJ,0.543,0.248,0,-20.888,1,0.402,0.882,5.03e-05,0.109,0.192,135.847,4,10,6.10515,14.638540948327057,0.2936505444168308,Other
"Symphony No. 9 in D Minor, Op.125 'Choral': Ode to Joy",Ludwig van Beethoven,Essential Beethoven,5G2RyS5wHOHh8JjLg13AnJ,0.19,0.328,2,-14.446,1,0.0413,0.916,0.663,0.0824,0.219,75.803,4,53,6.234883333333333,8.214841313417816,-0.18988967117928335,Other
momma told me imma be,Tai Verdes,A-O-K,5PwIUzy6iq3PqwhOtorDxM,0.659,0.309,10,-12.892,1,0.252,0.687,0.0,0.0879,0.506,159.461,4,75,2.2291166666666666,6.6461723022822214,-0.0033814363743047693,Other
Historia de un Sueño,La Oreja de Van Gogh,Lo Que Te Conte Mientras Te Hacias La Dormida,5WYDcW1n3M2AcrAh4pDI4s,0.472,0.494,2,-6.91,1,0.0261,0.417,0.0,0.103,0.427,185.845,3,74,3.7402166666666665,0.6612037371342443,-0.20697562204411984,Other
Queen In Me,Jujubee,good juju : vol. 2,5XQvIZdsXk7noUB8msfXhk,0.5,0.495,7,-8.314,0,0.051,0.133,8.13e-06,0.515,0.116,93.946,4,31,4.162483333333333,2.0528297848179387,0.005625692947529935,Other
Benny's Dispatch,Leslie Grace,In The Heights (Original Motion Picture Soundtrack),5ZTuSZiQfauqYcGt3rVaV2,0.674,0.562,6,-8.501,0,0.216,0.00598,0.0,0.108,0.256,91.908,4,66,2.348133333333333,2.2247927777944776,0.20843448445733637,Other
Mind Over Matter,Anthony Ramos,The Good & The Bad,5j3JNky4IeCdbZSlHFzV7A,0.852,0.789,9,-5.835,0,0.137,0.082,0.0,0.0606,0.636,118.043,4,72,2.6077833333333333,-0.45001569409502395,0.18069586473449264,Other
Middle Ground (feat. CHIKA),Alessia Cara,In The Meantime,5nGpC4ho50ESHj30ocN3sV,0.547,0.495,5,-6.313,1,0.361,0.347,0.0,0.116,0.796,148.377,4,81,3.717233333333333,0.0521663147059096,-0.0376195361052,Alessia Cara
1-800-273-8255,Logic,Everybody,5tz69p7tJuGPeMGwNTxYuV,0.62,0.574,5,-7.788,0,0.0479,0.569,0.0,0.19,0.357,100.023,4,82,4.16955,1.5427380000242619,-0.2679823073990683,Other
drivers license,Olivia Rodrigo,SOUR,5wANPM4fQCJwkGd4rN57mH,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,4,92,4.03355,2.5859340195129383,-0.49828850111610146,Other
Shapeshifter,Alessia Cara,In The Meantime,60O0pUJdobzFB11e88Y9m1,0.723,0.577,7,-7.739,1,0.0727,0.292,0.000656,0.17,0.612,95.066,4,81,3.1159,1.4711332649240394,0.06809452688702046,Alessia Cara
Out Loud,HRVY,Four Weddings And A Funeral,60osniAFR9op7mvLOGLluc,0.776,0.555,3,-9.792,1,0.269,0.0711,0.0,0.074,0.703,129.974,4,70,2.952,3.5035099660942643,0.44054858346491654,Other
Too Young To Grow Old,Lxandra,Another Lesson Learned EP,69iEaUoWMcAD0ylH4xOCZC,0.443,0.344,4,-8.818,0,0.0685,0.671,0.0,0.0825,0.112,153.5,4,44,3.2413333333333334,2.593532540724995,-0.45779751604189806,Other
Me Vieron Cruzar,Residente/Calle 13,MultiViral,6CLdnyg83r7ZRjLhiSykyK,0.537,0.703,2,-7.392,1,0.0429,0.14,2.08e-05,0.0709,0.499,91.993,4,73,3.8777833333333334,1.113258335906229,0.16388761505199656,Residente/Calle 13
Formula,Labrinth,Euphoria (Original Score from the HBO Series),6EtKlIQmGPB9SX8UjDJG5s,0.574,0.664,11,-6.068,1,0.0409,0.0448,0.0553,0.146,0.226,144.654,4,81,1.5311666666666666,-0.20240829401014296,0.012104251546470046,Other
deja vu,Olivia Rodrigo,SOUR,6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,4,92,3.5917833333333333,0.9823472965440266,-0.3866462947239052,Other
Still Don't Know My Name,Labrinth,Euphoria (Original Score from the HBO Series),6N22FZs2ZhPBYi3b9XPajV,0.316,0.63,5,-5.963,1,0.117,0.471,0.262,0.205,0.313,89.643,1,81,2.5549,-0.28349371431839554,-0.3256809426387013,Other
Romeo,Bryce Xavier,Romeo,6OXpmcHpzujlB1xrrPCqdc,0.566,0.238,3,-13.663,1,0.0563,0.8,0.0,0.0787,0.54,122.263,5,47,3.0625,7.423761056740141,-0.04854260552430412,Other
brutal,Olivia Rodrigo,SOUR,6SRsiMl7w1USE4mFqrOhHC,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,4,92,2.395783333333333,0.17917276724707645,0.027427295631035353,Other
Nobody’s Keeping Score,Cyn,Mood Swing,6W8GLmGFgO11Jb2sPshXN4,0.531,0.462,0,-6.879,1,0.038,0.615,0.0,0.231,0.251,102.07,4,52,3.34515,0.6479371072359722,-0.4599971095844857,Other
Fake ID (feat. Gretchen Wilson),Big & Rich,Greatest Hits,6ZKfUOJCGvkogfjcc4Kkvc,0.663,0.956,0,-2.322,1,0.0395,0.0614,0.0,0.233,0.73,129.983,4,61,3.388,-3.9637145271343117,0.02615140080079889,Other
How Far I'll Go,Auli'i Cravalho,Moana,6mb6lVLNrcUgLnEN8QnDJd,0.571,0.307,1,-10.958,0,0.0499,0.649,0.0,0.178,0.108,83.72,4,67,2.723116666666667,4.727244951602175,-0.2897740415619064,Other
Forever,Labrinth,Euphoria (Original Score from the HBO Series),6potEImiklXkwD9qFzpu15,0.563,0.459,4,-7.781,0,0.0292,0.92,0.724,0.11,0.197,79.983,4,81,3.3756,1.5658883371190846,-0.6686206936202982,Other
Pilot with a Fear of Heights,Felicity,Pilot with a Fear of Heights,72XFWgmIuW2i5uKUbhpQWt,0.54,0.648,5,-6.631,1,0.0651,0.176,2.39e-06,0.0808,0.341,156.034,4,28,3.317066666666667,0.36389226454484125,-0.010673286812518761,Other
Take Me There,Delta Rae,The Light,7786b8JD4nmbQHSKvAMwqQ,0.632,0.91,5,-3.847,1,0.0491,0.00978,0.0,0.136,0.501,114.416,4,49,3.6132333333333335,-2.4381139777875314,0.07302637574737256,Other
Carnaval Del Barrio,Daphne Rubin-Vega,In The Heights (Original Motion Picture Soundtrack),7D0Ntx3LMFMPNtSViJLS4D,0.546,0.563,7,-7.891,1,0.101,0.0968,0.0,0.0352,0.7,113.215,4,59,7.00285,1.6098945514967038,0.27473253426766786,Other
Wait for It,Leslie Odom Jr.,Hamilton,7EqpEBPOohgk7NnKvBGFWo,0.543,0.473,6,-9.638,1,0.157,0.124,4.04e-06,0.0922,0.519,86.534,4,76,3.2291666666666665,3.362190497940224,0.27809023035433134,Other
Box In The Ocean,Alessia Cara,In The Meantime,7bhR82JEE9bcX8iphymGme,0.604,0.592,5,-7.263,0,0.0944,0.312,0.000424,0.269,0.583,89.75,4,81,3.2782833333333334,0.9978507642369941,0.007818452820877134,Alessia Cara
Trust My Lonely,Alessia Cara,The Pains Of Growing,7eXT7U3FKrOM88xr1DsNwc,0.613,0.668,0,-6.134,1,0.162,0.00421,2.06e-06,0.324,0.622,150.171,4,81,3.3291166666666667,-0.14984214632718876,0.22037176315038662,Alessia Cara
When A Girl,CARYS,To Anyone Like Me,7jpcFYI4AEimC0kkFwMiJX,0.731,0.447,7,-5.982,0,0.0501,0.567,0.0,0.0797,0.665,180.016,3,58,3.5429666666666666,-0.2592631120853402,-0.31845907339300883,Other
thank you anxiety,Avenue Beat,thank you anxiety,7kyVPWXR3v2q1AOkGpS3ZD,0.588,0.705,7,-4.021,1,0.0788,0.719,0.0,0.205,0.629,160.011,4,53,2.8082166666666666,-2.217416850321737,-0.521049982629711,Other
Rooting For You - Live Off The Floor,Alessia Cara,This Summer: Live Off The Floor,7lqXJF0MwuVpCFJlVS0rFX,0.645,0.316,6,-10.719,1,0.141,0.421,0.0,0.072,0.526,155.991,4,81,2.8379666666666665,4.4643304775409485,0.0621716424787791,Alessia Cara
In The Heights,Anthony Ramos,In The Heights (Original Motion Picture Soundtrack),7oMr1IBlYwnb1jZh6of8kN,0.575,0.535,7,-7.452,1,0.331,0.121,0.0,0.122,0.713,167.834,4,72,7.693966666666666,1.1747934123106716,0.21666045944979656,Other
Non-Stop,Leslie Odom Jr.,Hamilton,7qfoq1JFKBUEIvhqOHzuqX,0.77,0.482,6,-9.529,1,0.351,0.211,0.0,0.223,0.441,91.994,4,76,6.423966666666667,3.2601341115594074,0.16733239419255513,Other
Solar Power,Lorde,Solar Power,7s2kWabRM60W9I61HpKg8C,0.73,0.483,4,-8.565,1,0.0879,0.237,7.99e-05,0.31,0.883,87.996,4,81,3.21035,2.28877693571234,0.25956914628225314,Other
Sleep When I'm Dead,These Girls These Boys,Sleep When I'm Dead,7wk5iPF7Fi0pG1QuObKVv5,0.838,0.39,4,-7.132,1,0.0999,0.115,8.36e-06,0.0742,0.405,109.973,4,19,3.5608833333333334,0.8712556934592767,0.015963002918180768,Other
Something Big,Shawn Mendes,Handwritten,060xmC5Tr7AVfT1ew9OHSB,0.695,0.854,7,-3.891,0,0.0431,0.00614,0.0,0.158,0.804,112.008,4,89,2.6906666666666665,-2.3997933734114465,0.18851111065877507,Other
Sin Contrato (feat. Fifth Harmony),Maluma,Sin Contrato (feat. Fifth Harmony),09S64DUkxIX9EwIaULu6yN,0.782,0.791,11,-6.038,0,0.102,0.144,0.0,0.169,0.896,96.022,4,90,3.02115,-0.25129934452160246,0.25567555014492427,Other
Shoot to Thrill,AC/DC,Back In Black,0C80GCp0mMuBzLf3EAXqxv,0.457,0.904,2,-5.303,1,0.0747,0.000239,0.0879,0.396,0.48,141.038,4,85,5.29045,-0.9865709086787171,0.18174235291296031,Other
A Sky Full of Stars,Coldplay,Ghost Stories,0FDzzruyVECATHXKHFs9eJ,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,4,92,4.46445,0.2012318823132876,0.0521028103766909,Other
Born To Be Wild,Krokus,Hoodoo,0H8iyBZDnWYgwVNAOcLiah,0.576,0.936,2,-2.911,1,0.0425,0.000508,0.126,0.0961,0.609,136.972,4,49,3.566666666666667,-3.3758116418553485,0.06376147476646468,Other
History,One Direction,Made In The A.M.,0HMjXBAZmSYOTTi33WpMso,0.655,0.699,11,-4.421,1,0.0493,0.0352,0.0,0.064,0.802,86.704,4,88,3.1237833333333334,-1.8619018914968166,0.15023046692230968,One Direction
Fanática Sensual,Plan B,Love & Sex,0M7RbpMsKOye5oKfukZst0,0.791,0.847,1,-3.657,1,0.0492,0.108,0.0,0.0898,0.902,163.974,4,77,4.018883333333333,-2.62953607453968,0.12489505550690239,Other
$,Ty Dolla $ign,Campaign,0Nj06bmr9Ec26i4bZiQQ9E,0.87,0.714,2,-4.589,1,0.0501,0.00454,8.97e-06,0.103,0.317,133.033,4,88,3.217416666666667,-1.6838460882877555,-0.01191016412459367,Other
Overdose,Little Daylight,Hello Memory,0RDobfQ4AtlQ4EBKkiQkln,0.559,0.897,0,-4.737,0,0.0678,0.00193,0.00818,0.207,0.757,89.992,4,32,3.980566666666667,-1.5577453475697105,0.2519779809091042,Other
